id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Echoes,Kairo Keys,hip-hop,euphoric,0.88,95,0.82,0.91,0.08
12,Cathedral Light,String Theory,classical,melancholic,0.22,68,0.35,0.18,0.94
13,Dust Road Radio,Harper Vale,country,nostalgic,0.55,108,0.62,0.48,0.42
14,Pulse Grid,Neon Foundry,electronic,euphoric,0.86,128,0.79,0.85,0.06
15,Furnace Heart,Black Anvil,metal,aggressive,0.96,168,0.32,0.44,0.04
16,Mississippi Haze,Delta Son,blues,soulful,0.48,82,0.58,0.52,0.68
17,Willow & Wire,The Hollow Tones,folk,whimsical,0.44,96,0.74,0.55,0.77
18,Sunrise Dub,Island Line,reggae,uplifting,0.62,88,0.88,0.70,0.33
